kode_inacbg,deskripsi,tarif_dasar,alos_standar
I-4-12-I,Hipertensi Esensial,5500000,4
G-4-14-I,Diabetes Mellitus Tipe 2,7200000,6
J-1-30-I,Pneumonia,7400000,6
K-1-40-I,Gagal Jantung,9200000,6
K-1-20-II,Apendisitis Akut,6000000,4
A-4-12-I,Diare & Gastroenteritis,4200000,4
I-4-13-I,Stroke Iskemik,11400000,7
U-1-30-II,GGK Stadium 5,6800000,4
O-6-13-III,Persalinan Sectio Caesaria,6000000,4
M-1-20-I,Tuberkulosis Paru,7000000,10
J-4-14-II,Asma Bronkial Eksaserbasi,5200000,4
D-4-10-I,Anemia Kronik,5500000,4
N-4-11-I,Infeksi Saluran Kemih,4800000,4
I-4-14-II,Cedera Kepala Sedang,9500000,6
K-1-21-I,Hemoroid Grade III,4500000,3
A-4-10-II,Sepsis Berat,18000000,8
I-1-02-II,Infark Miokard Akut,32000000,6
C-4-15-III,Kemoterapi Kanker Payudara,8000000,4
