id_tempat_tidur,id_kelas,nama_kelas
TT-1001,1,VIP
TT-1002,1,VIP
TT-1003,1,VIP
TT-1004,1,VIP
TT-1005,1,VIP
TT-1006,1,VIP
TT-1007,1,VIP
TT-1008,1,VIP
TT-1009,1,VIP
TT-1010,1,VIP
TT-1011,1,VIP
TT-1012,1,VIP
TT-1013,1,VIP
TT-1014,1,VIP
TT-1015,1,VIP
TT-1016,1,VIP
TT-1017,1,VIP
TT-1018,1,VIP
TT-1019,1,VIP
TT-1020,1,VIP
TT-1021,1,VIP
TT-1022,1,VIP
TT-1023,1,VIP
TT-1024,1,VIP
TT-1025,1,VIP
TT-1026,1,VIP
TT-1027,1,VIP
TT-1028,1,VIP
TT-1029,1,VIP
TT-1030,1,VIP
TT-1031,1,VIP
TT-1032,1,VIP
TT-1033,1,VIP
TT-1034,1,VIP
TT-1035,1,VIP
TT-1036,1,VIP
TT-1037,1,VIP
TT-1038,1,VIP
TT-1039,1,VIP
TT-1040,1,VIP
TT-2001,2,Kelas 1
TT-2002,2,Kelas 1
TT-2003,2,Kelas 1
TT-2004,2,Kelas 1
TT-2005,2,Kelas 1
TT-2006,2,Kelas 1
TT-2007,2,Kelas 1
TT-2008,2,Kelas 1
TT-2009,2,Kelas 1
TT-2010,2,Kelas 1
TT-2011,2,Kelas 1
TT-2012,2,Kelas 1
TT-2013,2,Kelas 1
TT-2014,2,Kelas 1
TT-2015,2,Kelas 1
TT-2016,2,Kelas 1
TT-2017,2,Kelas 1
TT-2018,2,Kelas 1
TT-2019,2,Kelas 1
TT-2020,2,Kelas 1
TT-2021,2,Kelas 1
TT-2022,2,Kelas 1
TT-2023,2,Kelas 1
TT-2024,2,Kelas 1
TT-2025,2,Kelas 1
TT-2026,2,Kelas 1
TT-2027,2,Kelas 1
TT-2028,2,Kelas 1
TT-2029,2,Kelas 1
TT-2030,2,Kelas 1
TT-2031,2,Kelas 1
TT-2032,2,Kelas 1
TT-2033,2,Kelas 1
TT-2034,2,Kelas 1
TT-2035,2,Kelas 1
TT-2036,2,Kelas 1
TT-2037,2,Kelas 1
TT-2038,2,Kelas 1
TT-2039,2,Kelas 1
TT-2040,2,Kelas 1
TT-2041,2,Kelas 1
TT-2042,2,Kelas 1
TT-2043,2,Kelas 1
TT-2044,2,Kelas 1
TT-2045,2,Kelas 1
TT-2046,2,Kelas 1
TT-2047,2,Kelas 1
TT-2048,2,Kelas 1
TT-2049,2,Kelas 1
TT-2050,2,Kelas 1
TT-2051,2,Kelas 1
TT-2052,2,Kelas 1
TT-2053,2,Kelas 1
TT-2054,2,Kelas 1
TT-2055,2,Kelas 1
TT-2056,2,Kelas 1
TT-2057,2,Kelas 1
TT-2058,2,Kelas 1
TT-2059,2,Kelas 1
TT-2060,2,Kelas 1
TT-2061,2,Kelas 1
TT-2062,2,Kelas 1
TT-2063,2,Kelas 1
TT-2064,2,Kelas 1
TT-2065,2,Kelas 1
TT-2066,2,Kelas 1
TT-2067,2,Kelas 1
TT-2068,2,Kelas 1
TT-2069,2,Kelas 1
TT-2070,2,Kelas 1
TT-2071,2,Kelas 1
TT-2072,2,Kelas 1
TT-2073,2,Kelas 1
TT-2074,2,Kelas 1
TT-2075,2,Kelas 1
TT-2076,2,Kelas 1
TT-2077,2,Kelas 1
TT-2078,2,Kelas 1
