tahun,bulan,jml_understock,jml_overstock
2020,1,15,9
2020,2,14,6
2020,3,15,6
2020,4,15,10
2020,5,15,10
2020,6,14,8
2020,7,14,11
2020,8,13,9
2020,9,13,8
2020,10,14,9
2020,11,14,9
2020,12,13,9
2021,1,11,9
2021,2,15,8
2021,3,13,13
2021,4,12,7
2021,5,13,12
2021,6,17,7
2021,7,14,9
2021,8,12,6
2021,9,15,8
2021,10,14,9
2021,11,16,11
2021,12,12,9
2022,1,14,7
2022,2,12,9
2022,3,10,7
2022,4,10,9
2022,5,12,10
2022,6,13,10
2022,7,13,10
2022,8,13,8
2022,9,15,10
2022,10,16,9
2022,11,12,7
2022,12,7,7
2023,1,13,8
2023,2,8,10
2023,3,11,8
2023,4,12,9
2023,5,13,7
2023,6,12,8
2023,7,14,8
2023,8,15,10
2023,9,15,8
2023,10,13,10
2023,11,10,9
2023,12,11,8
2024,1,10,7
2024,2,11,9
2024,3,10,7
2024,4,13,8
2024,5,12,9
2024,6,11,10
2024,7,11,9
2024,8,9,7
2024,9,11,12
2024,10,12,12
2024,11,12,10
2024,12,11,9
2025,1,14,11
2025,2,10,8
2025,3,13,8
2025,4,12,8
2025,5,12,11
2025,6,12,9
2025,7,11,9
2025,8,11,11
2025,9,13,10
2025,10,9,8
2025,11,11,9
2025,12,12,10
